date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:40	3819107/3819107	---MCZ	200	added ('OK')	text/html	etag:%223a4663-65f5169b-bd452ffa83d4f9e9;gz%22	https://softivuspro.com/oddsx/oddsx/index.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/index.html	(from )
10:10:41	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65ddec25-280a310b3dbcc488;gz%22	https://softivuspro.com/robots.txt		(from )
10:10:42	1542/1542	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:43%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/fav.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/fav.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:43	58390/58390	---M-Z	200	added ('OK')	text/css	etag:%22e416-65f516bc-a16fae010c24b71d;gz%22	https://softivuspro.com/oddsx/oddsx/assets/css/style.min.css	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/css/style.min.css	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:44	185699/185699	---M-Z	200	added ('OK')	text/html	etag:%222d563-65f516a1-7ce0ad806b615ad7;gz%22	https://softivuspro.com/oddsx/oddsx/floorball.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/floorball.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:45	567972/567972	---M-Z	200	added ('OK')	text/html	etag:%228aaa4-65f5169e-4ac06dcef93bd732;gz%22	https://softivuspro.com/oddsx/oddsx/soccer.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/soccer.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:46	295604/295604	---M-Z	200	added ('OK')	text/html	etag:%22482b4-65f5169d-94ffafe16d4941af;gz%22	https://softivuspro.com/oddsx/oddsx/ecricket.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/ecricket.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:47	86974/86974	---M-Z	200	added ('OK')	text/html	etag:%22153be-65f516a0-ca5908079ba6feec;gz%22	https://softivuspro.com/oddsx/oddsx/cycling.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/cycling.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:48	63833/63833	---M-Z	200	added ('OK')	text/html	etag:%22f959-65f5169e-b3236c27f2db89a3;gz%22	https://softivuspro.com/oddsx/oddsx/promotions.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/promotions.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:49	27404/27404	---M-Z	200	added ('OK')	text/html	etag:%226b0c-65f5169c-7fefbe5a3d92368d;gz%22	https://softivuspro.com/oddsx/oddsx/login.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/login.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:51	28156/28156	---M-Z	200	added ('OK')	text/html	etag:%226dfc-65f5169b-eb0a232ac9e8af9e;gz%22	https://softivuspro.com/oddsx/oddsx/create-acount.html	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/create-acount.html	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:52	950/950	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:53%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-usa.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-usa.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:53	410/410	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:54%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-china.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-china.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:54	957/957	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:55%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-brazil.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-brazil.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:55	430/430	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:56%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-canada.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-canada.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:56	139/139	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:57%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-france.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-france.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
10:10:57	139/139	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Apr%202025%2005:10:58%20GMT	https://softivuspro.com/oddsx/oddsx/assets/images/icon/lang-italy.png	C:/My%20Web%20Sites/betplan/softivuspro.com/oddsx/oddsx/assets/images/icon/lang-italy.png	(from https://softivuspro.com/oddsx/oddsx/index.html)
